,Prokaryotes,Eukaryotes
Typical organisms,"bacteria, archaea",protists; fungi; plants; animals
Typical size,~1–5 µm,~10–100 µm
Type of nucleus,nucleoid region; no true nucleus,true nucleus with double membrane
DNA,circular (usually),linear molecules (chromosomes) with histone proteins
RNA/protein synthesis,coupled in the cytoplasm,RNA synthesis in the nucleus; protein synthesis in the cytoplasm
Ribosomes,50S and 30S,60S and 40S
Cytoplasmic structure,very few structures,highly structured by endomembranes and a cytoskeleton
Cell movement,flagella made of flagellin,flagella and cilia containing microtubules; lamellipodia and filopodia containing actin
Mitochondria,none,one to several thousand
Chloroplasts,none,in algae and plants
Organization,usually single cells,"single cells, colonies, higher multicellular organisms with specialized cells"
Cell division,binary fission (simple division),mitosis (fission or budding);  meiosis
Chromosomes,single chromosome,more than one chromosome
Membranes,cell membrane,Cell membrane and membrane-bound organelles